Director,Actor,Country,Genre
,Spruha Joshi,,
,Sqikin Kamal,,
,SR Leela,,
,Sreejith Ravi,,
,Sreekanth Menon,,
,Sreekanth Murali,,
,Sreekumar,,
,Sreela Mazumdar,,
,Sreelekha Mitra,,
,Sreenath Bhasi,,
,Sreenivasan,,
,Sreymoch Sareum,,
,Sreyneang Oun,,
,Sri Lakshmi,,
,Sri Muktha,,
,Sridevi,,
,Sridhar Rangayan,,
,Srikanth Mullagiri,,
,Srilekha Rajendran,,
,Srinivas Avasarala,,
,Srishti Jain,,
,Srishti Shrivastava,,
,Sruthi Hariharan,,
,Stacey Dash,,
,Stacey DePass,,
,Stacey Sargeant,,
,Stacii Jae Johnson,,
,Stacy Haiduk,,
,Stacy Keach,,
,Stacy Martin,,
,Stacy Rock,,
,Stafford Douglas,,
,Stafford Perry,,
,Stan Carp,,
,Stan Lee,,
,Stan Walker,,
,Stana Katic,,
,Stanislas Merhar,,
,Stanislav Boklan,,
,Stanislav Moskvin,,
,Stanisław Cywka,,
,Stanislaw Tym,,
,Stanisława Celińska,,
,Stanley Anderson,,
,Stanley Chibunna,,
,Stanley DeSantis,,
,Stanley Fung Sui-Fan,,
,Stanley Moore,,
,Stanley Sui-Fan Fung,,
,Stanley Tucci,,
,Stanley Unwin,,
,Starletta DuPois,,
,Stavroula Mountzouris,,
,Steef de Bot,,
,Steen Raskopoulos,,
,Stef Aerts,,
,Stef Dawson,,
,Stefaan De Winter,,
,Stefan Brogren,,
,Stefan Gierasch,,
,Stefan Kapicic,,
,Stefan Kurt,,
,Stefan Merki,,
,Stefan Weinert,,
,Stefanee Martin,,
,Stefanía Gómez,,
,Stefania LaVie Owen,,
,Stefanie Martini,,
,Stefanie Scott,,
,Stefano Cassetti,,
,Stefano DiMatteo,,
,Stéfi Celma,,
,Steinar Sagen,,
,Steinunn Ólína Þorsteinsdóttir,,
,Stella Chung,,
,Stella Cornelia,,
,Stella Gonet,,
,Stella Maeve,,
,Stella McCusker,,
,Stella Schnabel,,
,Stellan Skarsgard,,
,Stellan Skarsgård,,
,Steph DuVall,,
,Steph Song,,
,Stephan James,,
,Stephan Kampwirth,,
,Stephan Lee Benson,,
,Stéphane Brel,,
,Stéphane Caillard,,
,Stephane Cornicard,,
,Stéphane De Groodt,,
,Stéphane Debac,,
,Stéphane Guillon,,
,Stéphane Jobert,,
,Stéphane Pitti,,
,Stéphane Rideau,,
,Stephanie Anne Mills,,
,Stephanie Arcila,,
,Stephanie Beatriz,,
,Stephanie Bennett,,
,Stephanie Beran,,
,Stephanie Cayo,,
,Stephanie Cole,,
,Stephanie Courtney,,
,Stephanie D'Abruzzo,,
,Stephanie Escajeda,,
,Stephanie Figueira,,
,Stephanie Gil,,
,Stephanie Honoré,,
,Stephanie Jacobsen,,
,Stephanie Kurtzuba,,
,Stephanie Lee,,
,Stephanie Lemelin,,
,Stephanie Lynn Robinson,,
,Stephanie March,,
,Stephanie McVay,,
,Stephanie Romanov,,
,Stephanie Salas,,
,Stephanie Schildknecht,,
,Stephanie Sheh,,
,Stephanie Sigman,,
,Stephanie Simbari,,
,Stephanie Stremler,,
,Stephanie Sy,,
,Stephanie Szostak,,
,Stephanie Turner,,
,Stephanie Vogt,,
,Stephanie Young,,
,Stephen Amell,,
,Stephen Baldwin,,
,Stephen Barrington,,
,Stephen Bishop,,
,Stephen Boxer,,
,Stephen Campbell Moore,,
,Stephen Chow,,
,Stephen Clinch,,
,Stephen Colbert,,
,Stephen Collins,,
,Stephen Curry,,
,Stephen Demian,,
,Stephen Dillane,,
,Stephen Dorff,,
,Stephen Dunham,,
,Stephen Dupont,,
,Stephen Erza  Hughes,,
,Stephen Fry,,
,Stephen Fung,,
,Stephen Garlick,,
,Stephen Gevedon,,
,Stephen Graham,,
,Stephen Guarino,,
,Stephen Hawking,,
,Stephen Henderson,,
,Stephen Huszar,,
,Stephen Kramer Glickman,,
,Stephen Lang,,
,Stephen Lord,,
,Stephen Macht,,
,Stephen Mangan,,
,Stephen McGann,,
,Stephen McHattie,,
,Stephen Mendel,,
,Stephen Merchant,,
,Stephen Moyer,,
,Stephen O'Rourke,,
,Stephen Peacocke,,
,Stephen Rannazzisi,,
,Stephen Rea,,
,Stephen Rider,,
,Stephen Root,,
,Stephen Schneider,,
,Stephen Singer,,
,Stephen Snedden,,
,Stephen Sondheim,,
,Stephen Spinella,,
,Stephen Stanton,,
,Stephen Stills,,
,Stephen Thorne,,
,Stephen Tobolowsky,,
,Stephen Wallem,,
,Stephen Walters,,
,Stephnie Weir,,
,Stephon Marbury,,
,Sterling Beaumon,,
,Sterling Hyltin,,
,Sterling Jerins,,
,Sterling K. Brown,,
,Sterling Knight,,
,Sterling Magee,,
,Sterling Sulieman,,
,Steve Agee,,
,Steve Aoki,,
,Steve Austin,,
,Steve Bacic,,
,Steve Baran,,
,Steve Bastoni,,
,Steve Berg,,
,Steve Bisley,,
,Steve Blount,,
,Steve Blum,,
,Steve Buscemi,,
,Steve Byers,,
,Steve Cardenas,,
,Steve Carell,,
,Steve Coogan,,
,Steve Coulter,,
,Steve Cumyn,,
,Steve Daron,,
,Steve Downes,,
,Steve Eastin,,
,Steve Evets,,
,Steve Greene,,
,Steve Guttenberg,,
,Steve Harris,,
,Steve Harvey,,
,Steve Hawk,,
,Steve Hicks,,
,Steve Hofmeyr,,
,Steve Howey,,
,Steve Kasan,,
,Steve Leonard,,
,Steve Little,,
,Steve Lund,,
,Steve Madden,,
,Steve Martin,,
,Steve McQueen,,
,Steve O'Connell,,
,Steve Oram,,
,Steve Oropeza,,
,Steve Park,,
,Steve Pemberton,,
,Steve Rosenbaum,,
,Steve Sandvoss,,
,Steve Schirripa,,
,Steve Staley,,
,Steve Stamp,,
,Steve Tientcheu,,
,Steve Toussaint,,
,Steve Wall,,
,Steve Whitmire,,
,Steve Yap,,
,Steve Young,,
,Steve Zahn,,
,Steve-O,,
,Steven Afrikaner,,
,Steven Bauer,,
,Steven Berkoff,,
,Steven Blades,,
,Steven Bognar,,
,Steven Cabral,,
,Steven Cheung,,
,Steven Chiang,,
,Steven Cree,,
,Steven Dell,,
,Steven Grayhm,,
,Steven Krueger,,
,Steven Kynman,,
,Steven Lee Johnson,,
,Steven Love,,
,Steven M. Porter,,
,Steven Mackintosh,,
,Steven Michael Quezada,,
,Steven Moffat,,
,Steven Ogg,,
,Steven Pasquale,,
,Steven Prescod,,
,Steven R. McQueen,,
,Steven Richens,,
,Steven Rinella,,
,Steven Rishard,,
,Steven Seagal,,
,Steven Sean Garland,,
,Steven Silver,,
,Steven Skyler,,
,Steven Spielberg,,
,Steven Strait,,
,Steven Swadling,,
,Steven Tan,,
,Steven Van Zandt,,
,Steven Waddington,,
,Steven Weber,,
,Steven Williams,,
,Steven Yaffee,,
,Steven Yeun,,
,Stevie Lynn Jones,,
,Stevie Payne,,
,Stevie Wonder,,
,Stewart Lee,,
,Sthembiso Khoza,,
,Sticky Fingaz,,
,Stig Alred,,
,Stig Amdam,,
,Stig Eldred,,
,Stig R. Amdam,,
,Stijn Fransen,,
,Stijn Van Opstal,,
,Stina Rautelin,,
,Sting,,
,Stink Fisher,,
,Stipe Erceg,,
,Stockard Channing,,
,Stony Blyden,,
,Storm Reid,,
,Stormi Henley,,
,Strother Martin,,
,Stu Bennett,,
,Stuart Allan,,
,Stuart Bowman,,
,Stuart Graham,,
,Stuart Manning,,
,Stuart Martin,,
,Stuart Pankin,,
,Stuart Stone,,
,Stuart Varnam-Atkin,,
,Stuart Wells,,
,Stuart Wilson,,
,Studs Terkel,,
,Stuti Dwivedi,,
,Su Ae,,
,Su Douglas,,
,Su Ke,,
,Su Kutlu,,
,Su Li-hsin,,
,Su Yen-ti,,
,Su-jong Choi,,
,Su-Yun Ko,,
,Suangporn Jaturaphut,,
,Suanne Braun,,
,Subaru Kimura,,
,Subba Rao Vepada,,
,Subbaraju,,
,Subbu Panchu,,
,Subbu Talabi,,
,Subhajit Das,,
,Subhash Ghai,,
,Subhashini Ali,,
,Subhrajyoti Barat,,
,Subiksha,,
,Subodh Bhave,,
,Suboi,,
,Subrat Dutta,,
,Suchada Tongam,,
,Suchandra Vaaniya,,
,Suchao Pongwilai,,
,Suchaya Saenkhot,,
,Suchendra Prasad,,
,Sucheta Khanna,,
,Suchita Trivedi,,
,Suchitra Bandekar,,
,Suchitra Krishnamoorthi,,
,Suchitra Pillai,,
,Sudeep,,
,Sudeepa Singh,,
,Sudha Shivpuri,,
,Sudhakar,,
,Sudhanshu Aggarwal,,
,Sudhanshu Pandey,,
,Sudheer Babu,,
,Sudheer Karamana,,
,Sudhi Koppa,,
,Sudhir,,
,Sudhir Chowdhary,,
,Sudhir Joshi,,
,Sudhir Mishra,,
,Sudhir Nema,,
,Sudhir Pandey,,
,Sudip Mukherjee,,
,Sudipta Chakraborty,,
,Sudipto Chattopadhyay,,
,Sue Elliot Nicholls,,
,Sue Johnston,,
,Sue Lyon,,
,Sue Perkins,,
,Sue Prado,,
,Sue Ramirez,,
,Sue Son,,
,Sue Swan,,
,Sue-Ann Leeds,,
,Sugar Ray Leonard,,
,Sugeeta Chandran,,
,Suguru Inoue,,
,Suha Gezen,,
,Suhaas Ahuja,,
,Suhaas Khandke,,
,Suhail Dabbach,,
,Suhail Nayyar,,
,Suhair El-Babili,,
,Suhani Bhatnagar,,
,Suhartini,,
,Suhas Bhalekar,,
,Suhas Joshi,,
,Suhas P,,
,Suhas Palshikar,,
,Suhas Sirsat,,
,Suhasini,,
,Suhasini Mulay,,
,Suhel Seth,,
,Suhita Thatte,,
,Sujan Mukherjee,,
,Sujata Bakshi,,
,Sujata Kumar,,
,Sujata Sehgal,,
,Sujit Kumar,,
,Sujith Sankar,,
,Sujith Shankar,,
,Sujiwo Tedjo,,
,Suk-kyu Han,,
,Sukania Venugopal,,
,Sukant Goel,,
,Sukha Belle Potter,,
,Sukhbir Kaur Lamba,,
,Sukhbir Singh,,
,Sukhdev Barnala,,
,Sukhjinder Shera,,
,Sukhmani Sadana,,
,Sukhwinder Chahal,,
,Sukhwinder Sohi,,
,Suki Waterhouse,,
,Sukirti Kandpal,,
,Sukki Singapora,,
,Şükran Ovalı,,
,Şükrü Özyıldız,,
,Sulabha Arya,,
,Sulakshana Baruah,,
,Sulakshana Pandit,,
,Sulayman Id,,
,Sulekha Talvalkar,,
,Suliane Brahim,,
,Sullivan Loyez,,
,Sullivan Stapleton,,
,Sulochana Chatterjee,,
,Sultan,,
,Sultan Al Assaf,,
,Sultan Alkhail,,
,Sultan Hussain,,
,Sultan Köroğlu Kılıç,,
,Suma Bhattacharya,,
,Sumalee Montano,,
,Suman,,
,Suman Banerjee,,
,Suman Mukhopadhyay,,
,Suman Talwar,,
,Sumanta Mukherjee,,
,Sumanth Shailendra,,
,Sumanto Chattopadhyay,,
,Sumeet Nijhawan,,
,Sumeet Raghvan,,
,Sumeet Sandhu,,
,Sumeet Thakur,,
,Sumeet Vyas,,
,Sumesh,,
,Sumet Ong-Art,,
,Sumi Shimamoto,,
,Sumiko Fuji,,
,Sumire,,
,Sumire Morohoshi,,
,Sumire Uesaka,,
,Sumit Chakravarti,,
,Sumit Kaul,,
,Sumit Suri,,
,Sumita Majumdar,,
,Sumitra Duangkaew,,
,Summer Bishil,,
,Summer Fontana,,
,Summer Glau,,
,Summer H. Howell,,
,Summer Meng,,
,Summer Strallen,,
,Sumona Chakravarti,,
,Sumontha Suanpolrat,,
,Sumret Muengput,,
,Sumriddhi Shukla,,
,Sumruddhi Shukla,,
,Sun Chien,,
,Sun Jialing,,
,Sun Ke-fang,,
,Sun Li,,
,Sun Li Man,,
,Sun Ning,,
,Sun Qian,,
,Sun Sung-wook,,
,Sun Yizhou,,
,Sun-gyu Jin,,
,Sun-kyung Kim,,
,Sun-Young Park,,
,Suna Yıldızoğlu,,
,Sunaina,,
,Sunanta Yoonniyom,,
,Sundeep Kishan,,
,Sunder,,
,Sunder Ramu,,
,Suneel Sinha,,
,Sung Dong-il,,
,Sung Hoon,,
,Sung Jun,,
,Sung Kang,,
,Sung-hyun Baek,,
,Sung-min Kim,,
,Sung-rok Shin,,
,Sung-woong Park,,
,Sung-yeol Lee,,
,Sunil Barve,,
,Sunil Dutt,,
,Sunil Grover,,
,Sunil Kumar,,
,Sunil Shetty,,
,Sunil Sukhada,,
,Sunil Sukthankar,,
,Sunil Tawde,,
,Sunil Thapa,,
,Sunita Dhir,,
,Sunita Mani,,
,Sunitha,,
,Sunnee Yang,,
,Sunni Westbrook,,
,Sunnie Wang,,
,Sunny Banerjee,,
,Sunny Charles,,
,Sunny Deol,,
,Sunny Gill,,
,Sunny Hinduja,,
,Sunny Kaushal,,
,Sunny Lau,,
,Sunny Leone,,
,Sunny Mabrey,,
,Sunny Pang,,
,Sunny Pawar,,
,Sunny Sandler,,
,Sunny Singh,,
,Sunny Suljic,,
,Sunny Suwanmethanont,,
,Sunny Wayne,,
,Sunnyi Melles,,
,Sunshine Cruz,,
,Supachai Suwanon,,
,Supakson Chaimongkol,,
,Supanart Jittaleela,,
,Supanut Sudjinda,,
,Supapunpinyo Teeradon,,
,Suparna Krishna,,
,Suparna Marwah,,
,Supasawad Buranawech,,
,Supasit Chinvinijkul,,
,Supassra Thanachat,,
,Supatra Roongsawang,,
,Supavitch Nepremwattana,,
,Suphachai Subprasert,,
,Supoj Chancharoen,,
,Supoj Pongpancharoen,,
,Suppakorn Chaiyo,,
,Supriya Joshi,,
,Supriya Karnik,,
,Supriya Pathak,,
,Supriya Pilgaonkar,,
,Supriya Shukla,,
,Sura Berditchevsky,,
,Sura Sankum,,
,Sura Theerakon,,
,Surabhi Lakshmi,,
,Surabhi Pandey,,
,Suraj Pawar,,
,Suraj Sharma,,
,Suraj Venjaramoodu,,
,Surangana Banerjee,,
,Suranne Jones,,
,Surapol Poonpiriya,,
,Surasak Vongthai,,
,Surbhi Jyoti,,
,Surbhi Mahendru,,
,Surekha Sikri,,
,Surendra Pal,,
,Suresh,,
,Suresh Chatwal,,
,Suresh Gopi,,
,Suresh Menon,,
,Suresh Oberoi,,
,Suresh Vishwakarma,,
,Suri Marrero,,
,Surinder Shinda,,
,Suriya,,
,Surleen Kaur,,
,Suruchi Aulakh,,
,Surveen Chawla,,
,Surya Amitrano,,
,Surya Saputra,,
,Susan Africa,,
,Susan Bachtiar,,
,Susan Bain,,
,Susan Barnes,,
,Susan Beaubian,,
,Susan Blackwell,,
,Susan Blommaert,,
,Susan Boyd,,
,Susan Boyle,,
,Susan Brown,,
,Susan Chuang,,
,Susan Coetzer,,
,Susan Cookson,,
,Susan Danford,,
,Susan Davis,,
,Susan Floyd,,
,Susan Heyward,,
,Susan Jane Tanner,,
,Susan Leong,,
,Susan Lucci,,
,Susan Lynch,,
,Susan May Pratt,,
,Susan Oliver,,
,Susan Peters,,
,Susan Pourfar,,
,Susan Prior,,
,Susan Radder,,
,Susan Ruttan,,
,Susan Sameh,,
,Susan Sarandon,,
,Susan Strasberg,,
,Susan Sullivan,,
,Susan Traylor,,
,Susan Vidler,,
,Susan Wokoma,,
,Susan Wood,,
,Susan Yeagley,,
,Susana Abaitua,,
,Susana Dans,,
,Susana Pérez,,
,Susana Ribeiro,,
,Susana Zabaleta,,
,Susanna Herbert,,
,Susanna Thompson,,
,Susanne Bartsch,,
,Susanne Blakeslee,,
,Susanne Böwe,,
,Susanne Storm,,
,Susanne Timms,,
,Susanne Wuest,,
,Sushama Deshpande,,
,Sushant Pujari,,
,Sushant Singh,,
,Sushant Singh Rajput,,
,Sushanth,,
,Sushanth Reddy,,
,Sushar Manaying,,
,Sushil Pandey,,
,Sushma Bakshi,,
,Sushma Seth,,
,Sushmita Mukherjee,,
,Sushmita Sen,,
,Susi Sánchez,,
,Susie Abromeit,,
,Susie Essman,,
,Susie Lindeman,,
,Susie Power,,
,Susumu Chiba,,
,Sutatta Udomsilp,,
,Suteerush Channukool,,
,Suthada Jongjaiphar,,
,Suthep Po-ngam,,
,Suthpong Kanithanon,,
,Sutthatip Wutichaipradit,,
,Sutthirak Subvijitra,,
,Sutton Foster,,
,Suty Karno,,
,Suun Lin,,
,Suvela Sharma,,
,Suvinder Vikky,,
,Suwaphat Techaviriyawong,,
,Suyog Rajendra Gorhe,,
,Suzan Aksoy,,
,Suzan Crowley,,
,Suzanna Mukherjee,,
,Suzannah Lipscomb,,
,Suzanne Clément,,
,Suzanne Ford,,
,Suzanne Krull,,
,Suzanne Rault-Balet,,
,Suzanne Snyder,,
,Suzette Ranillo,,
,Suzi Dougherty,,
,Suzu Hirose,,
,Suzuki Matsuo,,
,Suzuko Mimori,,
,Suzy Myers,,
,Sveinn Geirsson,,
,Sven De Ridder,,
,Sven Nordin,,
,Sven Ruygrok,,
,Sven-Bertil Taube,,
,Svenja Jung,,
,Sverrir Gudnason,,
,Svetlana Efremova,,
,Svetlana Khodchenkova,,
,Svetlana Tsimokhina,,
,Svetlana Ustinova,,
,Swagata Basu,,
,Swanand Kirkire,,
,Swandand Raikar,,
,Swanky JKA,,
,Swann Nambotin,,
,Swantje Kohlhof,,
,Swapnil,,
,Swapnil Kumari,,
,Swara Bhaskar,,
,Swara Bhasker,,
,Swarangi Maharte,,
,Swastika Mukherjee,,
,Swati Chitnis,,
,Swati Rajput,,
,Swati Semwal,,
,Sweety Pala,,
,Swen Temmel,,
,Syafie Naswip,,
,Syafiq Kyle,,
,Syamsul Yusof,,
,Syazwan Zulkifli,,
,Sydelle Noel,,
,Sydney Cope,,
,Sydney Elise Johnson,,
,Sydney Lassick,,
,Sydney Lucas,,
,Sydney McCallister,,
,Sydney Meyer,,
,Sydney Mikayla,,
,Sydney Park,,
,Sydney Rae White,,
,Sydney Schafer,,
,Sydney Scotia,,
,Sydney Sweeney,,
,Sydney Tamiia Poitier,,
,Sydney Wade,,
,Sylvain Jailloux,,
,Sylvain Marcel,,
,Sylvain Quimene,,
,Sylvaine Strike,,
,Sylvester Groth,,
,Sylvester McCoy,,
,Sylvester Stallone,,
,Sylvia Earle,,
,Sylvia Hoeks,,
,Sylvia Meals,,
,Sylvia Oluchy,,
,Sylvia Salustti,,
,Sylvia Sanchez,,
,Sylvia Wang,,
,Sylvia Yang,,
,Sylvie de Neef,,
,Sylvie Testud,,
,Symara Templeman,,
,Symera Jackson,,
,Syna Anand,,
,Synnøve Macody Lund,,
,Syra Shehroz,,
,Syrus Shahidi,,
,Szabolcs Thuróczy,,
,Szu Shih,,
,Szu-Chia Chen,,
,T-Bone,,
,T.C. Stallings,,
,T.D. Jakes,,
,T.I.,,
,T.J. Atoms,,
,T.J. Miller,,
,T.J. Power,,
,T.J. Storm,,
,T.P. Gajendran,,
,T.R. Knight,,
,T.V. Carpio,,
,T'Nia Miller,,
,Taapsee Pannu,,
,Taaruk Raina,,
,Tabitha Nauser,,
,Tabitha St. Germain,,
,Tabu,,
,Tachakorn Boonlupyanun,,
,Tachatorn Supanan,,
,Tack Parunyu Rojanawuttitum,,
,Tadahiro Nakamura,,
,Tadanobu Asano,,
,Tadashi Miyazawa,,
,Tadeusz Pluciński,,
,Tadeusz Schmidt,,
,Tae Hang-ho,,
,Tae Won-seok,,
,Tae-goo Eom,,
,Tae-ho Ryu,,
,Tae-hwan Choi,,
,Tae-hwan Kang,,
,Tae-hyun Nam,,
,Tae-im Lee,,
,Tae-yeol Jeon,,
,Taecyeon,,
,Taeko Kawata,,
,Tagel Eliyahu,,
,Taha Sönmezisik,,
,Tahar Rahim,,
,Taher Abu Lela,,
,Taher Farouz,,
,Taher Shabbir,,
,Taheya Cariocca,,
,Tahir Raj Bhasin,,
,Tahirah Sharif,,
,Tai Berdinner-Blades,,
,Tai Nguyen,,
,Tai-Lo Ma,,
,Tai-Ping Yu,,
,Taichi Saotome,,
,Taika Waititi,,
,Taiki Sato,,
,Taim Hasan,,
,Tainá Müller,,
,Taishi Murata,,
,Taissa Farmiga,,
,Tait Blum,,
,Tait Fletcher,,
,Taiten Kusunoki,,
,Taito Ban,,
,Taiwo Arimoro,,
,Taiwo Familoni,,
,Taiwo Obileye,,
,Tajja Isen,,
,Tak Yuen,,
,Takaaki Torashima,,
,Takahiro,,
,Takahiro Azuma,,
,Takahiro Fujiwara,,
,Takahiro Hamada,,
,Takahiro Mizushima,,
,Takahiro Sakurai,,
,Takako Fuji,,
,Takako Honda,,
,Takako Matsu,,
,Takanori Hoshino,,
,Takanori Iwata,,
,Takashi Matsuyama,,
,Takashi Onozuka,,
,Takashi Sorimachi,,
,Takashi Taniguchi,,
,Takashi Yamanaka,,
,Takaya Hashi,,
,Takaya Kuroda,,
,Takayo Fischer,,
,Takayuki Kondo,,
,Takayuki Nakatsukasa,,
,Takayuki Sugo,,
,Takayuki Yamada,,
,Takehiro Hira,,
,Takehito Koyasu,,
,Takemi Fujii,,
,Takenori Goto,,
,Takeo Chii,,
,Takeo Otsuka,,
,Takeru Sato,,
,Takeshi Kaga,,
,Takeshi Kaneshiro,,
,Takeshi Koyama,,
,Takeshi Maeda,,
,Takeshi Masu,,
,Taketora,,
,Takla Chamoun,,
,Taksaorn Paksukcharern,,
,Takuma Terashima,,
,Takumi Saitoh,,
,Takumi Yamasaki,,
,Takuro Hijioka,,
,Takuro Nakakuni,,
,Takuya Eguchi,,
,Takuya Iba,,
,Takuya Kirimoto,,
,Takuya Sato,,
,Takuya Wakabayashi,,
,Tala Ashe,,
,Talal El-Jordi,,
,Talal Jarday,,
,Talal Mahmood,,
,Talat Bulut,,
,Talat Hussain,,
,Talha Arshad Reshi,,
,Talia Balsam,,
,Talia Jackson,,
,Talia Pura,,
,Talia Shire,,
,Taliah Webster,,
,Taliana Vargas,,
,Talib Mehdi,,
,Taline Stewart,,
,Talitha Eliana Bateman,,
,Taliyah Whitaker,,
,Tallulah Haddon,,
,Tallulah Milligan,,
,Tam Sin Yin,,
,Tam Williams,,
,Tamae Ando,,
,Tamaki Ogawa,,
,Tamala Jones,,
,Tamannaah Bhatia,,
,Tamar Amit-Joseph,,
,Tamar Braxton,,
,Tamar Novas,,
,Tamara Arciuch,,
,Tamara Canosa,,
,Tamara Dobson,,
,Tamara Duarte,,
,Tamara Kiper,,
,Tamara Mazarraza,,
,Tamara Mello,,
,Tamara Smart,,
,Tamara Taylor,,
,Tamara Tunie,,
,Tamara Vallarta,,
,Tamer Burjaq,,
,Tamer Hagras,,
,Tamer Hassan,,
,Tamer Hosny,,
,Tamer Shaltout,,
,Tamera Mowry-Housley,,
,Tami Roman,,
,Tami Sagher,,
,Tamim Abdou,,
,Tamina Pollack-Paris,,
,Tamir Ben-Yehuda,,
,Tamir Kapelian,,
,Tamla Kari,,
,Tammi Øst,,
,Tammy Anderson,,
,Tammy Blanchard,,
,Tammy Chen,,
,Tammy Gillis,,
,Tammy Lynn Michaels,,
,Tammy MacIntosh,,
,Tammy Townsend,,
,Tamotsu Kanshuji,,
,Tamsen McDonough,,
,Tamsin Egerton,,
,Tamsin Greig,,
,Tamsin Heatley,,
,Tamzin Merchant,,
,Tan Ai-Chen,,
,Tan France,,
,Tan Hau Yen,,
,Tan Jin Chor,,
,Tanaaz Currim Irani,,
,Tanaji Galgunde,,
,Tanay Chheda,,
,Taneea Rajawat,,
,Taner Birsel,,
,Tang Chen-Kang,,
,Tang Yinuo,,
,Tangie Ambrose,,
,Tania,,
,Tania Alvarado,,
,Tania Dutel,,
,Tania Gunadi,,
,Tania Staite,,
,Tanikella Bharani,,
,Tanishaa Mukerji,,
,Tanja Schleiff,,
,Tanju Tuncel,,
,Tanmay Dhanania,,
,Tanna Barthel,,
,Tanner Beard,,
,Tanner Buchanan,,
,Tanner Thomason,,
,Tannishtha Chatterjee,,
,Tanny Tien Ni,,
,Tansu Biçer,,
,Tanta Ginting,,
,Tantimedh Chisanusha,,
,Tantoo Cardinal,,
,Tanuj Virwani,,
,Tanuja,,
,Tanushree Dutta,,
,Tanushree Kaushal,,
,Tanusree Chakraborty,,
,Tanutchai Wijitvongtong,,
,Tanveer Ghani,,
,Tanvi Azmi,,
,Tanvi Ram,,
,Tanvi Vyas,,
,Tanvir Singh,,
,Tanya Chisholm,,
,Tanya Fear,,
,Tanya Franks,,
,Tanya Liyah,,
,Tanya Nasr,,
,Tanya Newbould,,
,Tanya Reynolds,,
,Tanya Roberts,,
,Tanya Streeter,,
,Tanya van Graan,,
,Tanya Winsor,,
,Tao Somchai Khemklad,,
,Tao Tsuchiya,,
,Tapsee Pannu,,
,Tara Basro,,
,Tara Breathnach,,
,Tara Buck,,
,Tara Deshpande,,
,Tara Emad,,
,Tara Fitzgerald,,
,Tara Leigh,,
,Tara Lynne Barr,,
,Tara Lynne O'Neill,,
,Tara Macri,,
,Tara Meyer,,
,Tara Morice,,
,Tara Pacheco,,
,Tara Robinson,,
,Tara Sands,,
,Tara Sharma,,
,Tara Strong,,
,Taraana Raja,,
,Taraji P. Henson,,
,Taran Bajaj,,
,Taran Killam,,
,Tarana Marwah,,
,Taranjit Kaur,,
,Taranjit Singh,,
,Taras Gotovtsev,,
,Tardu Flordun,,
,Tarek Abdel Aziz,,
,Tarek El Ebiary,,
,Tarek El Tilmisany,,
,Tarek Lotfy,,
,Tarek Yaacoub,,
,Tareq Abdalla,,
,Tarik Belmekki,,
,Tarik Davis,,
,Tarik Ergin,,
,Tariq Almuhairi,,
,Tariq Tamim,,
,Tarisa Preechatangkit,,
,Tarita,,
,Tarık Akan,,
,Tarık Papuççuoğlu,,
,Tarık Ünlüoğlu,,
,Tarlochan Singh,,
,Taro Ishida,,
,Taro Suruga,,
,Taro Yamaguchi,,
,Taron C. Hensley,,
,Taron Egerton,,
,Tarra Budiman,,
,Tarra Riggs,,
,Tarryn Alberts,,
,Tarsem Paul,,
,Tarun Arora,,
,Tarun Bajaj,,
,Tarun Khanna,,
,Tarun Mehta,,
,Tarun Ratnani,,
,Tarun Wadhwa,,
,Tarusuke Shingaki,,
,Taryn Manning,,
,Tarynn Wyngaard,,
,Tarzan,,
,Tasha & Tracie Okereke,,
,Tasha Smith,,
,Tashneem Lyngdoh,,
,Taskya Namya,,
,Tasma Walton,,
,Tássia Reis,,
,Tasuku Hatanaka,,
,Tat-Ming Cheung,,
,Tata Vega,,
,Táta Vega,,
,Tatanka Means,,
,Tatchapol Thitiapichai,,
,Tate Donovan,,
,Tate Ellington,,
,Tate Taylor,,
,Tathastu,,
,Tati Gabrielle,,
,Tatiana Maslany,,
,Tatiana Pauhofová,,
,Tatjana Saphira,,
,Tato,,
,Tato Alexander,,
,Tatsuhisa Suzuki,,
,Tatsuomi Hamada,,
,Tatsuya Nakamura,,
,Tatum Marilyn Hall,,
,Tatum McCann,,
,Tatum O'Neal,,
,Tau Wan Yue,,
,Taufiq Hanafi,,
,Tauquir Ahmed,,
,Tava Smiley,,
,Tavi Gevinson,,
,Tawfik El Deken,,
,Tawny Newsome,,
,Tay Ping Hui,,
,Tay Zonday,,
,Tayam Amar,,
,Taye Diggs,,
,Taylar Hender,,
,Taylor Abrahamse,,
,Taylor Caniff,,
,Taylor Clarke-Hill,,
,Taylor Dearden,,
,Taylor Dooley,,
,Taylor Frost,,
,Taylor Henry,,
,Taylor James,,
,Taylor John Smith,,
,Taylor Kinney,,
,Taylor Kitsch,,
,Taylor Lautner,,
,Taylor Momsen,,
,Taylor Mosby,,
,Taylor Negron,,
,Taylor Nichols,,
,Taylor Richardson,,
,Taylor Rouviere,,
,Taylor Russell,,
,Taylor Schilling,,
,Taylor Swift,,
,Taylor Thorne,,
,Taylor Tomlinson,,
,Taylor Zakhar Perez,,
,Taylour Paige,,
,Tayo Amokade,,
,Taz Skylar,,
,Tchéky Karyo,,
,Te-Lo Mai,,
,Téa Leoni,,
,Teach Grant,,
,Teairra Mari,,
,Teca Pereira,,
,Ted Atherton,,
,Ted Danson,,
